Actant,Project,LInk
Navkiran Natt,Train No. 54703 ,
Sujith Malik,Loss of Horizon and Other Converging Acts ,
Khwaab Tanha Collective,Connecting the Lines ,https://soundcloud.com/khwaabtanha
Anish Abraham Cherian,Coming out Party for the Androgynous Tree - website,https://www.desirecollective.com/
Madhurja Dey,Shepard Tone - website,https://madhurjya-dey.itch.io/shepard-tone
Sultana Zana,The Incident Network - app,https://sultanazana.github.io/fieldness.io/
Awdhesh Tamrakar,Head in the cloud - app,
Vyom Mehta,Pakistan se Pani - Instagram,https://www.instagram.com/vyomasura/
Shraddha Borwake,Garb-Age- Facebook,https://www.facebook.com/theageofgarbs
"Anuj Malhotra, Suraj Prasad",Reanimated Corpse - website,http://lightcube.in/
Sonam Chaturvedi,Kairoi time auction - website,http://kairoi.in/
"Krishnapriya CP, Narendran K",Dictionary of Nonsense - website,http://project4u.co.in/dictionaryofnonsense/